data/namaPerusahaan,data/alamatPerusahaan
PT Gistex Garmen Indonesia,"Jln. Raya Bandung Cirebon Desa Sinarjati RT 01 RW 01, Sinarjati, Dawuan, Kabupaten Majalengka, Jawa Barat"
PT Gistex Garmen Indonesia,"Jln. Banjarnegara - Wonosobo, Kalibenda, Sigaluh, Kabupaten Banjarnegara, Jawa Tengah"
PT Gistex Garmen Indonesia,"Jln. Panyawungan KM.19 Cileunyi Wetan, Cileunyi Wetan, Cileunyi, Kabupaten Bandung, Jawa Barat"
PT Gistex Garmen Indonesia,"Blok Pajagan RT 01 RW 01, Sinarjati, Dawuan, Kabupaten Majalengka, Jawa Barat"
PR Gita Astrini,"JL. EMPLASMENT, Bunyu Timur, Bunyu, Kabupaten Bulungan, Kalimantan Utara"
PR Gita Ayu Setiawati,"Jl. Barito RT.25, Simpang Tiga, Loa Janan Ilir, Kota Samarinda, Kalimantan Timur"
PT Gita Cahaya Lestari,"JL. Terusan Cibaduyut , Komplek Angkasa Mekar KAV 2, Cangkuang Kulon, Dayeuhkolot, Kabupaten Bandung, Jawa Barat"
PR Gita Megasari,"Jalan Flamboyan No. 25 RT 02/07, Desa/Kelurahan Kayu Putih, Kec. Pulogadung, Kota Adm. Jakarta Timur, Provinsi DKI Jakarta, Kayu Putih, Pulogadung, Kota Jakarta Timur, DKI Jakarta"
PR Gita Nastalia,"CAROCOK ANAU, Cerocok Anau Ampang Pulai, Koto XI Tarusan, Kabupaten Pesisir Selatan, Sumatera Barat"
PR GITA NATASYA,
PR Gita Nofriati,"SIMPANG TALAGO JORONG IV SURABAYO, Lubuk Basung, Lubuk Basung, Kabupaten Agam, Sumatera Barat"
PR Gita Nurasia,"Jl Yos Sudarso, Binanga, Mamuju, Kabupaten Mamuju, Sulawesi Barat"
PT Gita Persada Rajawali,"Jl. Rajawali Sakti 1 no. 35, Dunguscariang, Andir, Kota Bandung, Jawa Barat"
PR Gita Puji Lestari,
PT Gita Riau Makmur,"Jalan Kh. Nasution Km 12. Maharatu, Marpoyan Damai Kota Pekanbaru, Maharatu, Marpoyan Damai, Kota Pekanbaru, Riau"
PR Gita Santika,"Jl Gn kasur, Kota Kulon, Garut Kota, Kabupaten Garut, Jawa Barat"
PR Gita Sativa,"JL. Prof. M. Yamin Sh, Aur Kuning, Aur Birugo Tigo Baleh, Kota Bukittinggi, Sumatera Barat"
PR Gita Suban,"JL. PANTAI TRIKORA - KP.BOPENG, Desa/Kelurahan Teluk Bakau, Kec. Gunung Kijang, Teluk Bakau, Gunung Kijang, Kabupaten Bintan, Kepulauan Riau"
PR Gita Tarina Paramita,
PT Gita Variasi Rendatama,"JL RAYA SERANG KM 16 / JL COLOMBUS RT 007/003 DESA TALAGASARI CIKUPA, TANGERANG, CIKUPA, Kabupaten Tangerang, Banten"
PR Gitamargaretha Tuki,"DUSUN PUNJURU, DESA TEGGELA, Tenggela, Tilango, Kabupaten Gorontalo, Gorontalo"
PT Gitamulia Cemerlang,
PT Githa Darma Optima,"Komplek Industri dan Pergudangan Safe n Lock Blok V3 no 3507, Lingkar Timur Km 5,5 Sidoarjo, Rangkah Kidul, Sidoarjo, Kabupaten Sidoarjo, Jawa Timur"
PR Githa Dera Registania,"JL. MARGATAPA NO 105, Majalengka Wetan, Majalengka, Kabupaten Majalengka, Jawa Barat"
PT Gitindo Livana Tama,"Jln. Prof. Dr. Ir. Soetami Km.9, Kampung Tutul RT.004, RW.007 , Kelurahan Citeras , Kecamatan Rangkasbitung , Kabupaten Lebak , Provinsi Banten, Citeras, Rangkasbitung, Kabupaten Lebak, Banten"
PT GITINDO PRISMA TAMA,"JL. Peternakan I Gang Mangga UBI IV No.25 I & J, Kapuk, Cengkareng, Kota Jakarta Barat, DKI Jakarta"
PR GITO,"DUKUH, RT 003/RW 008, KARANGLO, TAWANGMANGU, Desa/Keluarahan Karanglo, Kec. Tawangmangu, Kab. Karanganyar, Provinsi Jawa Tengah, Karanglo, Tawangmangu, Kabupaten Karanganyar, Jawa Tengah"
PR Gito,"KRAJAN, Rimpak, Sapuran, Kabupaten Wonosobo, Jawa Tengah"
PT Gits Indonesia,
PT Gitsuri Abadi Jaya,"Jl.Jogja-Solo, Karanganom, Klaten Utara, Kabupaten Klaten, Jawa Tengah"
PR Gitta Putri Kumala Sari,"Desa Jiwut RT 002 RW 002 Dusun Ngrobyong, Jiwut, Nglegok, Kabupaten Blitar, Jawa Timur"
PT Giunco Kota Mas,"JALAN EMBONG MALANG NO. 12 DESA CEMENGBAKALAN SIDOARJO, CEMENGBAKALAN, SIDOARJO, Kabupaten Sidoarjo, Jawa Timur"
PR Giva Motor,"Lingk. Simullu, Baruga, Banggae Timur, Kabupaten Majene, Sulawesi Barat"
PT GIVAUDAN INDONESIA,"Jl. Raya Bogor KM. 35, RT.001 RW.020, Sukamaju, Cilodong, Kota Depok, Jawa Barat"
PR Givni,"DUSUN I PASIR BARU, Pilubang, Sungai Limau, Kabupaten Padang Pariaman, Sumatera Barat"
PT Givro Multi Teknik Perkasa,"Jl.Raya Setu - Bantar Gebang No.90 rt.006/rw.007, Padurenan, Mustikajaya, Kota Bekasi, Jawa Barat"
PT Giwang Citra Laut,"Poros Pabrik Gula Takalar KM.1,5, Pa'rappunganta, Polombangkeng Utara, Kabupaten Takalar, Sulawesi Selatan"
PT Giwang Kanaka,"jl. batanghari no 23A Cideng, gambir, jakarta pusat, DKI Jakarta 10150, Cideng, Gambir, Kota Jakarta Pusat, DKI Jakarta"
PR Giwantoro,"PAWULON, Gondowulan, Kepil, Kabupaten Wonosobo, Jawa Tengah"
PR Giwigewi,"Jl. Budi Utomo 3 RW 02 RT 05 Gang Beringin 6 Beringin Raya, Beringin Raya, Muara Bangka Hulu, Kota Bengkulu, Bengkulu"
PR Giyanti,"Sabrangkidul, Karangsambung, Kalibawang, Kabupaten Wonosobo, Jawa Tengah"
PR Giyanti,"Ponggok II RT 07, Trimulyo, Jetis, Kabupaten Bantul, DI Yogyakarta"
PR Giyarti,"Jalan Sengkawit, Kawasan Pasar Induk, Tanjung Selor Hilir, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara"
PR Giyatno,"NOBO TENGAH RT 03 RW 07 , NOBOREJO , ARGOMULYO KOTA SALATIGA JAWA TENGAH, Noborejo, Argomulyo, Kota Salatiga, Jawa Tengah"
PR Giyono,"Rt,03/Rw01 Krajan, Sobontoro, Karas, Kabupaten Magetan, Jawa Timur"
PR Giyono,
PT Gizi Indonesia,"JL. Veteran II RT04/RW04, Teluk Pinang, Ciawi, Kabupaten Bogor, Jawa Barat"
CV Gizindo Jaya Agung,"SEMAN RT 20 RW 07, BONYOKAN, JATINOM, Kabupaten Klaten, Jawa Tengah"
PR Gizindo Primadian Hia,"UD. FELLYCIA,, Sisobaoho, Mandrehe Barat, Kabupaten Nias Barat, Sumatera Utara"
PT Gizitatapangan Sejahtera,"Jl. Paralon I no. 22, Cigondewah Kaler, Bandung Kulon, Kota Bandung, Jawa Barat"
CV Gk Furniture,"Jl.Ki Ageng Tapak No.90, Semplo, Pasar Minggu-Palimanan, Kabupaten Cirebon, Jawa Barat"
PR Gl 8,"Jl. Pulau Galang 8 RT 14 RW 01, Kasin, Klojen, Kota Malang, Jawa Timur"
PT Glacier Manufacture Indonesia,
CV Glamoure Home Indonesia,"DESA KAUMAN GANG 5 NO 75 RT 002 RW 005, Kauman, Mojoagung, Kabupaten Jombang, Jawa Timur"
PR Glamouroses Sublim Dan Konveksi,"Babakan Muncang Kidul No 101 Rt 03 Rw 11, Padaasih, Cisarua, Kabupaten Bandung Barat, Jawa Barat"
PT Glasfindo,"Jl. Raya Narogong Km 25,8, Dayeuh, Cileungsi, Kabupaten Bogor, Jawa Barat"
PT Glassindo Mobil Utama,"Jl. Gunung Sahari V No.9 Rt 003 Rw 001, Gunung Sahari Selatan, Kemayoran, Kota Jakarta Pusat, DKI Jakarta"
PT Glassindo Mobil Utama,"Jl. Ciputat Raya No.28-30A RT 001, RW 001, Kebayoran Lama Selatan, Kebayoran Lama, Kota Jakarta Selatan, DKI Jakarta"
PT Glaxo Wellcome Indonesia,"Jl. Pulobuaran Raya Kav.III/ DD 2,3,4, Jatinegara, Cakung, Kota Jakarta Timur, DKI Jakarta"
PT Glb Biotechnology Indonesia,"Laksana Business Park Blok BC Nomor 10-12, Jalan Raya Kalibaru, Laksana, Pakuhaji, Kabupaten Tangerang, Banten"
PR Gleddy Dinar Andytha,"Jalan Parikesit No 5, Oro-oro Ombo, Kartoharjo, Kota Madiun, Jawa Timur"
PR Gledis Naray,
PR Gledys Amanda Lioni,"JL. KESATRIAN III/32, Kebon Manggis, Matraman, Kota Jakarta Timur, DKI Jakarta"
PT Glee Trees Indonesia,
PT Perorangan Gleh Store Industri,"Jl.Merdeka Timur Gg.Kuta Asan No.126 A, Uteunkot, Muara Dua, Kota Lhokseumawe, Nangroe Aceh Darussalam"
PR Glenda Emira Paputungan,"Jalan Siliwangi lingkungan III, Kotobangun, Kotamobagu Timur, Kota Kotamobagu, Sulawesi Utara"
CV GLG CORPORATION,
PT Glico Manufacturing Indonesia,"Jl. Industri Raya Lot MM 16 - 18, Kawasan Industri KIIC, Margamulya, Telukjambe Barat, Kabupaten Karawang, Jawa Barat"
PT GLICO-WINGS,"Desa Wanajaya, Kecamatan Teluk Jambe Barat, Kabupaten Karawang, Provinsi Jawa Barat, Wanajaya, Telukjambe Barat, Kabupaten Karawang, Jawa Barat"
PT Glitterindo Pratama,"Jl. Raya serang km 16.8 RT. 01 Rw. 01, Talaga, Cikupa, Kabupaten Tangerang, Banten"
PT Glo Lintas Orbit,"JALAN JEMBATAN DUA 9T4, PEJAGALAN, PENJARINGAN, Kota Jakarta Utara, DKI Jakarta"
PR Global Adzia Mandiri,"Jl. Galur Sari IX No. 15, Utan Kayu Selatan, Matraman, Kota Jakarta Timur, DKI Jakarta"
CV Global Agarwood Station,
PT Global Agrima Indonesia,
CV Global Agro Tani,"Jl. Raya Dandeles No. Km 25, Wedung, Sedayulawas, Brondong, Kabupaten Lamongan, Jawa Timur"
PT Global Agrotech,"JL. DESA TANJUNGAN RT 003- RW 001, Kel. Tanjungan, Kec. Driyorejo, Kab. Gresik, Provinsi Jawa Timur, Tanjungan, Driyorejo, Kabupaten Gresik, Jawa Timur"
PT Global Aiden Teknologi,"JL.WARUNG JATI BARAT NO.39, KALIBATA, PANCORAN, Kota Jakarta Selatan, DKI Jakarta"
